age,optimistic,average,pessimistic
28,111.0,111.0,111.0
29,313.5,300.0,286.5
30,516.0,489.0,462.0
31,718.5,678.0,637.5
32,921.0,867.0,813.0
33,1123.5,1056.0,988.5
34,1326.0,1245.0,1164.0
35,1528.5,1434.0,1339.5
36,1731.0,1623.0,1515.0
37,1933.5,1812.0,1690.5
38,2136.0,2001.0,1866.0
39,2338.5,2190.0,2041.5
40,2541.0,2379.0,2217.0
41,2743.5,2568.0,2392.5
42,2946.0,2757.0,2568.0
